mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,picking_duration(s)
1,0,reshuffle,206,205,(3;1;5),(0;0;6),1705363200,1705363300,0,100,100.0,4,0.0
2,1,target,205,205,(3;1;4),work station (Port 1),1705363200,1705363340,0,140,140.0,4,8.0
3,0,return,205,205,work station (Port 1),(0;0;7),1705363348,1705363428,148,228,228.0,4,0.0
4,2,target,204,204,(3;1;3),work station (Port 2),1705363200,1705363370,0,170,170.0,22,44.0
5,1,return,204,204,work station (Port 2),(1;0;6),1705363424,1705363499,224,299,299.0,22,0.0
6,3,target,231,231,(3;6;6),work station (Port 3),1705363200,1705363360,0,160,160.0,5,10.0
7,0,return,231,231,work station (Port 3),(1;0;7),1705363428,1705363529,228,329,329.0,5,0.0
8,4,reshuffle,376,374,(5;6;5),(0;2;5),1705363200,1705363360,0,160,160.0,3,0.0
9,5,reshuffle,375,374,(5;6;4),(0;2;6),1705363200,1705363390,0,190,190.0,3,0.0
10,6,target,374,374,(5;6;3),work station (Port 1),1705363200,1705363440,0,240,240.0,3,6.0
11,2,return,374,374,work station (Port 1),(1;1;3),1705363456,1705363536,256,336,336.0,3,0.0
12,7,reshuffle,49,48,(0;7;7),(0;2;7),1705363200,1705363420,0,220,220.0,8,0.0
13,8,target,48,48,(0;7;6),work station (Port 4),1705363200,1705363370,0,170,170.0,8,16.0
14,3,return,48,48,work station (Port 4),(1;1;4),1705363396,1705363566,196,366,366.0,8,0.0
15,9,reshuffle,356,355,(5;3;7),(0;3;6),1705363200,1705363325,0,125,125.0,19,0.0
16,9,target,355,355,(5;3;6),work station (Port 2),1705363325,1705363460,125,260,260.0,19,38.0
17,1,return,355,355,work station (Port 2),(1;1;5),1705363499,1705363596,299,396,396.0,19,0.0
18,4,target,313,313,(4;8;7),work station (Port 1),1705363360,1705363540,160,340,340.0,24,48.0
19,0,return,313,313,work station (Port 1),(1;1;6),1705363583,1705363678,383,478,478.0,24,0.0
20,5,target,154,154,(2;3;6),work station (Port 3),1705363390,1705363500,190,300,300.0,24,48.0
21,1,return,154,154,work station (Port 3),(1;1;7),1705363596,1705363708,396,508,508.0,24,0.0
22,8,target,203,203,(3;1;2),work station (Port 4),1705363370,1705363490,170,290,290.0,12,24.0
23,5,return,203,203,work station (Port 4),(0;3;7),1705363524,1705363609,324,409,409.0,12,0.0
24,7,target,341,341,(5;1;7),work station (Port 2),1705363420,1705363550,220,350,350.0,30,60.0
25,2,return,341,341,work station (Port 2),(1;2;4),1705363600,1705363705,400,505,505.0,30,0.0
26,6,reshuffle,370,368,(5;5;7),(0;4;4),1705363440,1705363590,240,390,390.0,26,0.0
27,9,reshuffle,369,368,(5;5;6),(0;4;5),1705363460,1705363620,260,420,420.0,26,0.0
28,8,target,368,368,(5;5;5),work station (Port 1),1705363490,1705363680,290,480,480.0,26,52.0
29,0,return,368,368,work station (Port 1),(1;2;5),1705363722,1705363827,522,627,627.0,26,0.0
30,4,target,111,111,(1;7;5),work station (Port 2),1705363540,1705363700,340,500,500.0,25,50.0
31,1,return,111,111,work station (Port 2),(1;2;6),1705363740,1705363857,540,657,657.0,25,0.0
32,3,reshuffle,140,136,(2;1;7),(0;4;6),1705363566,1705363656,366,456,456.0,5,0.0
33,7,reshuffle,139,136,(2;1;6),(0;4;7),1705363550,1705363686,350,486,486.0,5,0.0
